ID,AICK-011-12-2422-2,AICK-046-(13-006),AICK-050-(13-551),AICK-066-(13-2538),AICK-097-(14-2320),AICK-126-1S-0642-3,AKU-008-AN,AKU-012-RW-2,AKU-014-RW,AKU-017-RW,AKUH-018-PI,AKUH-020-WN,AKUH-021-PB,AKUH-022-PB,AKUH-024-SP
ENSG00000000003,61.18485388,22.42243266,43.84338938,70.63437728,276.4169629,127.2805,72.65303105,71.33416749,61.2515155,74.09210273,156.1167259,129.3997001,68.77019189,36.51621022,25.7447237
ENSG00000000005,0,0,9.047048602,0,0,0,0,0,1.640665594,0,0,0,1.366295203,0.48047645,4.543186536
ENSG00000000419,41.86332108,29.89657688,41.75560893,27.82566378,127.0379069,0,69.7076379,28.02413723,49.94915252,43.14223703,29.2718861,60.9491341,72.8690775,43.72335697,78.74856663
ENSG00000000457,96.60766402,93.42680274,139.8812899,77.0556843,282.1117656,0,156.105837,188.5260141,141.4618334,106.9177179,121.9661921,151.9039958,106.1155941,116.275301,125.190029
ENSG00000000460,132.0304742,67.26729797,105.780876,149.8304973,166.0254024,21.21341666,132.5426918,96.81065588,115.5757763,38.45286344,0,145.3402429,127.9763174,132.6115003,78.74856663
ENSG00000000938,0,56.05608164,21.57373128,12.84261405,10.51348195,0,53.01707672,15.28589303,27.70901892,3.751498872,4.878647683,24.37965364,32.79108488,50.45002728,6.562380552
ENSG00000000971,19.3215328,63.53022586,64.72119385,94.1791697,38.54943381,0,40.2537064,12.73824419,151.305827,196.9536908,48.78647683,49.69698627,55.10723986,246.9648954,27.76391772
ENSG00000001036,6.440510935,26.15950477,16.70224357,21.40435675,45.99648352,169.7073333,66.76224475,86.62006052,70.001732,14.06812077,141.4807828,14.06518479,51.00835425,115.3143481,40.88867882
ENSG00000001084,141.6912406,44.84486531,112.0442173,145.5496259,341.2501016,63.64024999,212.0683069,104.4536024,104.4557095,131.3024605,102.4516013,83.45342977,132.5306347,75.43480269,121.6564395
ENSG00000001167,267.2812038,403.6037878,146.8405581,119.8643978,257.5803077,21.21341666,459.4813315,135.0253885,270.1629344,271.9836682,287.8402133,445.3975185,531.0334023,215.7339262,266.5336101
ENSG00000001460,99.82791949,22.42243266,27.83707262,62.07263458,26.28370487,0,20.61775206,33.11943491,20.78176419,31.88774041,87.8156583,16.87822175,32.79108488,32.19192217,39.37428331
ENSG00000001461,289.8229921,59.79315375,804.4913988,72.77481295,147.626809,84.85366666,219.9226886,137.5730373,131.0709513,157.5629526,302.4761564,74.07663991,69.68105536,155.1938934,306.4126919
