"gene","coef","hr","se_coef","z","pval","lower_95","upper_95","sig"
"IL12RB2",-0.326769167729552,0.721250211636618,0.103270022416583,-3.16422094314449,0.001554987008091,0.589090950377635,0.883058664290109,"**"
"SERPINE1",0.442878953779924,1.55718383171645,0.163602140421129,2.7070486525415,0.00678843080297185,1.13000793040918,2.14584466224152,"**"
"AKAP12",0.502993315517222,1.65366380725858,0.202093530535804,2.48891349556639,0.0128134138259138,1.11281993324347,2.45736431002501,"*"
"VWF",0.593755326269803,1.81077571677372,0.242354574426411,2.44994478719894,0.014287812170511,1.12608733503247,2.91177122275587,"*"
"COL1A1",0.540655399140708,1.717131900242,0.224159526269304,2.41192247386875,0.0158686553460794,1.10662052693367,2.6644562350554,"*"
"COL14A1",0.364825621104658,1.44026283480805,0.153264840530846,2.38036081753032,0.0172956934093682,1.06655310730435,1.94491677828603,"*"
"DMD",-0.418589606506017,0.657974168184295,0.176636660700116,-2.36977762626907,0.0177987867358895,0.465431149466813,0.930169814576806,"*"
"TIMP4",0.304097119404715,1.3554006854054,0.129272480069351,2.35237321386251,0.0186540478804729,1.05203639978879,1.7462428280678,"*"
"COL9A3",-0.196077812146095,0.821948274630556,0.0848692645412945,-2.31035125856064,0.0208687152369302,0.695991024863842,0.970700687268657,"*"
"KLF4",0.49878647878132,1.64672172594482,0.217836559236987,2.28972804440362,0.0220370866400504,1.074477684006,2.52373081643596,"*"
"BMP7",-0.212322624050024,0.808703748195979,0.0932701416987531,-2.27642651960142,0.0228204939232106,0.673593313503376,0.970914852085965,"*"
"LEPR",0.482937539100902,1.62082866343469,0.212470409928913,2.27296374710474,0.0230283646965957,1.06876437114069,2.45805869576995,"*"
"HGF",0.397311069557903,1.48781867317183,0.178779710296063,2.2223498902641,0.026259668973452,1.04802692379309,2.11216368013443,"*"
"NR3C2",-0.360946252944052,0.697016460042813,0.176354291888575,-2.04671090835775,0.0406864775750129,0.493321437891582,0.984818230578066,"*"
"DCN",0.472296613178,1.60367298372865,0.233441369677079,2.02319157838789,0.0430533996125995,1.01486940187233,2.53408668543607,"*"
"FBN1",0.46271681165879,1.58838346704012,0.236861721407594,1.95353140604151,0.0507566596136033,0.998477528521115,2.5268090330518,"."
"LYVE1",0.311753572467542,1.36581807637703,0.161051132468039,1.935742814658,0.05289920786885,0.996106751580525,1.87275009912173,"."
"ZNF423",0.32193330005738,1.37979274079127,0.169390711239391,1.90053691670501,0.0573626951088631,0.989984103268022,1.92308947310931,"."
"CDC7",-0.408057454401921,0.664940673956158,0.22069209453036,-1.84898990274337,0.0644592707408812,0.431448981206964,1.02479347301825,"."
"TNC",0.216990578507289,1.242332397457,0.118336867129226,1.8336684396954,0.0667032261789939,0.985165709357557,1.56662962495693,"."
"TGFBR2",0.281629569206909,1.32528770167385,0.154602954083075,1.8216312286994,0.0685109592009341,0.978840420100824,1.79435529647115,"."
"COL9A2",-0.265684997162372,0.766680596030691,0.149178809456677,-1.78098349309812,0.0749151474194795,0.572312509820977,1.02705973789363,"."
"SDC1",0.353786246806625,1.42445067305552,0.203093936236438,1.74198330763925,0.0815113651627948,0.956695085064674,2.12090534554294,"."
"CD209",0.25907338432527,1.29572888752936,0.151940770809546,1.70509457695205,0.0881767868863421,0.962015174776694,1.74520464333402,"."
"DPP4",0.23403833471595,1.26369293458895,0.138515521016964,1.6896181236418,0.0911010363591102,0.963245374194447,1.65785362246409,"."
"MME",0.207645957307881,1.23077734467861,0.123189145054886,1.68558647935551,0.0918754752211535,0.966764518962337,1.56688918807242,"."
"EXO1",-0.280687690015329,0.75526417519372,0.169428137103818,-1.65667695350588,0.0975848048774408,0.541852889101297,1.05272849108019,"."
"TEK",0.35041216015485,1.41965255224314,0.211553793425205,1.656373797328,0.0976461440460992,0.937793357187818,2.14910177561306,"."
"TYMS",-0.352467887665148,0.702951142850763,0.215534132173994,-1.63532283314,0.101981389472447,0.460746617308906,1.07247734583779,""
"FGF2",-0.229336934383737,0.795060605115467,0.140368716902759,-1.63381798625837,0.102297074517975,0.603834838840176,1.04684480779666,""
"IRS1",0.242216457146537,1.27406994451558,0.148924333515606,1.62643975922951,0.103856138618168,0.951543502889612,1.70591698497074,""
"EDNRB",0.267178381337689,1.30627344035282,0.166981784340326,1.60004507313894,0.109588584659276,0.941670454082213,1.81204612884905,""
"EMCN",0.342737304144353,1.40879862775127,0.214332290676599,1.59909317939172,0.109799899980188,0.925569304648209,2.14431654505679,""
"IGF1",0.264215018501508,1.30240820805721,0.166254614223556,1.58921916083622,0.112010922042907,0.9402231505963,1.80411122544579,""
"EBF1",0.313357001224713,1.3680098250446,0.197911950303983,1.58331521034183,0.113349637793875,0.928167289596048,2.01628618288524,""
"COL2A1",-0.0967729014595257,0.907762134182468,0.0621395095102392,-1.55734897526959,0.119387653489962,0.803671960719727,1.02533388314002,""
"DUSP1",0.323728081151911,1.38227139036815,0.210996472346863,1.53428196003071,0.124960301841653,0.91409807930371,2.09022887137638,""
"OXTR",-0.292170489773174,0.746641230427501,0.191539508395838,-1.5253797622231,0.127164403539073,0.512947884907814,1.08680266236887,""
