"Gene","Selection_Frequency","coef","hr","pval"
"IL12RB2",0.93,-0.326769167729552,0.721250211636618,0.001554987008091
"DMD",0.9,-0.418589606506017,0.657974168184295,0.0177987867358895
"COL9A3",0.86,-0.196077812146095,0.821948274630556,0.0208687152369302
"VWF",0.71,0.593755326269803,1.81077571677372,0.014287812170511
"BMP7",0.65,-0.212322624050024,0.808703748195979,0.0228204939232106
"RAD51",0.63,0.373828519005167,1.45328791783021,0.165705789493491
"SERPINE1",0.63,0.442878953779924,1.55718383171645,0.00678843080297185
"KLF4",0.54,0.49878647878132,1.64672172594482,0.0220370866400504
"OXTR",0.54,-0.292170489773174,0.746641230427501,0.127164403539073
"AKAP12",0.45,0.502993315517222,1.65366380725858,0.0128134138259138
"TIMP4",0.4,0.304097119404715,1.3554006854054,0.0186540478804729
"NR3C2",0.06,-0.360946252944052,0.697016460042813,0.0406864775750129
"TNC",0.06,0.216990578507289,1.242332397457,0.0667032261789939
"KIT",0.01,0.146745770082978,1.15805951222864,0.300885172839398
