"Iteration","N_Genes","Lambda_Min","Lambda_1SE"
1,9,0.063744442378725,0.111395223341565
2,11,0.0580815618098765,0.111395223341565
3,5,0.0699594468116323,0.111395223341565
4,0,0.111395223341565,0.111395223341565
5,7,0.0667796819858524,0.111395223341565
6,9,0.063744442378725,0.111395223341565
7,11,0.0580815618098765,0.111395223341565
8,3,0.0842664013445547,0.111395223341565
9,12,0.0505163804611887,0.111395223341565
10,2,0.0924822714401781,0.111395223341565
11,11,0.0580815618098765,0.111395223341565
12,4,0.076780406503691,0.111395223341565
13,11,0.0554416651885284,0.111395223341565
14,11,0.0460286444539834,0.111395223341565
15,9,0.063744442378725,0.111395223341565
16,10,0.0529217559427646,0.111395223341565
17,0,0.111395223341565,0.111395223341565
18,10,0.0608471590960172,0.111395223341565
19,7,0.0667796819858524,0.111395223341565
20,1,0.096885884410303,0.111395223341565
21,4,0.076780406503691,0.111395223341565
22,11,0.0580815618098765,0.111395223341565
23,9,0.063744442378725,0.111395223341565
24,11,0.0554416651885284,0.111395223341565
25,9,0.063744442378725,0.111395223341565
26,4,0.0732906185331416,0.111395223341565
27,11,0.0554416651885284,0.111395223341565
28,4,0.080436363355376,0.111395223341565
29,11,0.0554416651885284,0.111395223341565
30,4,0.0732906185331416,0.111395223341565
31,5,0.0699594468116323,0.111395223341565
32,4,0.076780406503691,0.111395223341565
33,0,0.111395223341565,0.111395223341565
34,7,0.0667796819858524,0.111395223341565
35,4,0.0732906185331416,0.111395223341565
36,7,0.0667796819858524,0.111395223341565
37,11,0.0580815618098765,0.111395223341565
38,11,0.0580815618098765,0.111395223341565
39,11,0.0580815618098765,0.111395223341565
40,7,0.0667796819858524,0.111395223341565
41,10,0.0529217559427646,0.111395223341565
42,11,0.0554416651885284,0.111395223341565
43,0,0.111395223341565,0.111395223341565
44,4,0.0732906185331416,0.111395223341565
45,5,0.0699594468116323,0.111395223341565
46,9,0.063744442378725,0.111395223341565
47,3,0.0842664013445547,0.111395223341565
48,11,0.0554416651885284,0.111395223341565
49,5,0.0699594468116323,0.111395223341565
50,10,0.0608471590960172,0.111395223341565
51,4,0.076780406503691,0.111395223341565
52,9,0.063744442378725,0.111395223341565
53,11,0.0554416651885284,0.111395223341565
54,11,0.0554416651885284,0.111395223341565
55,0,0.111395223341565,0.111395223341565
56,10,0.0608471590960172,0.111395223341565
57,11,0.0580815618098765,0.111395223341565
58,9,0.063744442378725,0.111395223341565
59,11,0.0554416651885284,0.111395223341565
60,11,0.0580815618098765,0.111395223341565
61,11,0.0554416651885284,0.111395223341565
62,7,0.0667796819858524,0.111395223341565
63,11,0.0554416651885284,0.111395223341565
64,4,0.076780406503691,0.111395223341565
65,5,0.0699594468116323,0.111395223341565
66,11,0.0580815618098765,0.111395223341565
67,10,0.0608471590960172,0.111395223341565
68,2,0.0924822714401781,0.111395223341565
69,0,0.111395223341565,0.111395223341565
70,2,0.0882788094756272,0.111395223341565
71,11,0.0554416651885284,0.111395223341565
72,4,0.076780406503691,0.111395223341565
73,12,0.0505163804611887,0.111395223341565
74,0,0.111395223341565,0.111395223341565
75,7,0.0667796819858524,0.111395223341565
76,11,0.0554416651885284,0.111395223341565
77,10,0.0529217559427646,0.111395223341565
78,4,0.076780406503691,0.111395223341565
79,9,0.063744442378725,0.111395223341565
80,2,0.0882788094756272,0.111395223341565
81,10,0.0529217559427646,0.111395223341565
82,1,0.101499178726795,0.111395223341565
83,11,0.0554416651885284,0.111395223341565
84,11,0.0554416651885284,0.111395223341565
85,4,0.0732906185331416,0.111395223341565
86,7,0.0667796819858524,0.111395223341565
87,3,0.0842664013445547,0.111395223341565
88,10,0.0608471590960172,0.111395223341565
89,11,0.0580815618098765,0.111395223341565
90,12,0.0439365715276896,0.111395223341565
91,11,0.0554416651885284,0.111395223341565
92,4,0.080436363355376,0.111395223341565
93,1,0.101499178726795,0.111395223341565
94,7,0.0667796819858524,0.111395223341565
95,10,0.0529217559427646,0.111395223341565
96,11,0.0482203330074587,0.111395223341565
97,5,0.0699594468116323,0.111395223341565
98,10,0.0529217559427646,0.111395223341565
99,11,0.0580815618098765,0.111395223341565
100,11,0.0482203330074587,0.111395223341565
