"Time_Years","Risk_Group","Predicted_Survival","Observed_Survival"
1,1,0.999670718104616,1
1,2,0.998531425166548,1
1,3,0.993727829885682,1
1,4,0.976631126587848,1
1,5,0.860948409661658,0.838815789473684
3,1,0.997303731058682,1
3,2,0.988025489154275,1
3,3,0.94980782341424,0.909090909090909
3,4,0.826169305116842,0.933333333333333
3,5,0.400808802927826,0.299022295321637
5,1,0.993467873201537,1
5,2,0.971187711628725,1
5,3,0.882798570994178,0.779220779220779
5,4,0.6360637523617,0.665432098765432
5,5,0.164200316366432,0.149511147660819
