baseMean,log2FoldChange,lfcSE,pvalue,padj,gene,regulation,log2FC_plot,negLog10Padj,gene_biotype
11.46866494,0.028300902,0.135130317,0.831330202,0.847860952,A1BG,NS,0.028300902,0.071675366,protein_coding
71009.38852,-0.412730933,0.135359758,0.000952798,0.001370189,A2M,NS,-0.412730933,2.863219498,protein_coding
1048.82096,4.663337537,0.222273013,7.00E-99,3.31E-97,A2ML1,Up,4.663337537,96.48049508,protein_coding
1168.358345,-0.075275841,0.13795815,0.567601159,0.599750668,A4GALT,NS,-0.075275841,0.22202926,protein_coding
5.727488056,-1.242953675,0.211993739,1.91E-09,3.97E-09,A4GNT,Down,-1.242953675,8.401334344,protein_coding
1966.101741,0.057598081,0.050087894,0.251873766,0.282726508,AAAS,NS,0.057598081,0.548633471,protein_coding
3722.04447,-0.54596255,0.119283075,4.87E-06,8.27E-06,AACS,NS,-0.54596255,5.082428539,protein_coding
165.1548256,-2.937406773,0.317028969,2.19E-37,1.53E-36,AADAC,Down,-2.937406773,35.81605102,protein_coding
8.189941798,1.1109276,0.354167795,4.99E-05,7.92E-05,AADACL2,Up,1.1109276,4.101142748,protein_coding
482.3285838,1.344800054,0.143410006,2.43E-21,8.98E-21,AADAT,Up,1.344800054,20.04648938,protein_coding
3096.16153,0.342853884,0.053011476,9.26E-11,2.07E-10,AAGAB,NS,0.342853884,9.684769638,protein_coding
3050.029194,-0.126487341,0.066736109,0.055049282,0.067245231,AAK1,NS,-0.126487341,1.172338509,protein_coding
416.1746738,-0.569353678,0.105239817,4.99E-08,9.54E-08,AAMDC,NS,-0.569353678,7.020454487,protein_coding
6597.565102,0.411787299,0.067281624,9.97E-10,2.10E-09,AAMP,NS,0.411787299,8.677810796,protein_coding
10.19333787,1.792748098,0.178603735,2.35E-24,9.84E-24,AANAT,Up,1.792748098,23.0068266,protein_coding
3299.433362,0.200003598,0.045597701,1.13E-05,1.87E-05,AAR2,NS,0.200003598,4.728304659,protein_coding
4285.015958,3.246236999,0.243614406,1.71E-41,1.40E-40,AARD,Up,3.246236999,39.85339688,protein_coding
10377.27792,0.819721656,0.064890525,2.92E-36,1.95E-35,AARS1,NS,0.819721656,34.71039312,protein_coding
1434.08106,0.73664106,0.06629276,6.15E-29,3.10E-28,AARS2,NS,0.73664106,27.50844104,protein_coding
51.26783249,-0.192779517,0.09926394,0.05054829,0.061982822,AARSD1,NS,-0.192779517,1.207728656,protein_coding
