"gene_symbol","Closeness_Latora","Harmonic","regulation","log2FoldChange","padj"
"IL6",0.474913512517656,324.04899062162,"Down",-2.376407806,1.92e-26
"ESR1",0.464411282631899,302.989525923484,"Down",-3.174717004,7.92e-48
"FN1",0.463394621266777,309.771908060779,"Up",2.62333503,1.09e-61
"BCL2",0.454944065411544,300.701867575259,"Down",-1.746165178,1.01e-44
"MMP9",0.443441010495026,292.767143938339,"Up",5.243997308,1.88e-44
"IRS1",0.442301738245832,289.217598384033,"Down",-1.569863315,4.1e-31
"IGF1",0.432566919221111,284.29193220155,"Down",-2.8169839,1.13e-51
"PPARG",0.428133698772511,280.510771459627,"Down",-3.55105582,3.33e-91
"EGF",0.427651976821263,287.955281969741,"Down",-1.336015499,8.71e-08
"CXCL12",0.427118803831698,281.814795167211,"Down",-2.360442134,1.79e-91
"CAV1",0.424139691138552,271.589414748265,"Down",-3.224469125,1.6e-91
"KIT",0.414129232597111,273.09773615971,"Down",-1.851843134,8.81e-22
"AURKA",0.412852232356084,294.421988052998,"Up",3.819623211,0
"VWF",0.408387720485362,269.470073131682,"Down",-2.381212868,1.45e-69
"E2F1",0.406437692751323,275.025411490293,"Up",3.337266664,2.19e-194
"FOS",0.40630273616872,263.055746887283,"Down",-3.261291436,2.06e-70
"LEP",0.405329382536594,262.963428853652,"Down",-7.385990924,5.6e-141
"CD38",0.405317202640432,262.430916812693,"Up",1.304211935,2.05e-12
"CD36",0.404025768484876,264.786928282559,"Down",-5.079368456,1.12e-133
"MRC1",0.401379916471455,260.717674824909,"Down",-1.38045197,1.71e-14
"CDK1",0.399285141911447,298.64248862039,"Up",3.820580729,1.99e-245
"CXCL8",0.398289825892409,270.382513796181,"Up",2.126214874,2.03e-22
"SERPINE1",0.397439393918629,260.321165047318,"Up",1.074567499,0.000203542
"SPP1",0.397221912130404,261.648869997377,"Up",2.83243165,1.63e-49
"CDKN2A",0.397218103557499,269.201975635086,"Up",4.216071771,2.21e-103
"CEBPA",0.396681553623823,256.151751348828,"Down",-2.205467539,5.69e-32
"FGF7",0.39662323186389,262.297202572705,"Down",-1.423203201,7.29e-21
"CCNB1",0.395390833613402,294.338533603295,"Up",3.189261418,1.24e-269
"FGF10",0.395077336388598,259.536583716896,"Down",-3.464675509,1.1e-58
"AGT",0.394892272707156,257.594561215363,"Up",1.350664077,0.000228729
"CXCL13",0.394827756391275,255.425055328348,"Up",1.160710778,0.000212927
"FGFR3",0.394572317622553,261.992743207771,"Up",1.698532898,3.29e-15
"MUC1",0.394569364954213,252.7487877331,"Up",1.226334093,8.89e-09
"EZH2",0.393637461255554,262.740997513783,"Up",3.202383085,6.12e-220
"FGF2",0.392800907505545,262.316552409851,"Down",-2.334077583,2.3e-43
"HGF",0.39245644579263,262.119151314152,"Down",-1.125108795,3.19e-11
"AR",0.391742341606077,251.546632272183,"Down",-1.493201909,7.45e-12
"SELL",0.391494577800097,256.805901714672,"Up",1.816883128,1.18e-24
"NDC80",0.38873603817656,275.917448284389,"Up",4.396516168,3.83e-261
"TEK",0.38855348237709,255.886236328903,"Down",-2.227677119,4.24e-58
"ERBB4",0.387743818995838,253.652827510888,"Down",-3.200928935,1.27e-40
"CCR7",0.386823201122054,253.327868715099,"Up",1.985214742,1.89e-25
"FOXM1",0.385663683979198,277.249903552976,"Up",4.723599412,1.88e-238
"COL1A1",0.385019808605326,254.792848813262,"Up",1.733770418,1.19e-21
"GPX3",0.384271120501461,245.123227221225,"Down",-3.451701168,2.32e-70
"ADIPOQ",0.38320530091857,248.399124134536,"Down",-5.88774765,7.17e-60
"SDC1",0.382359010059338,254.147927876709,"Up",2.28679587,7.21e-43
"EGR1",0.380761562514155,245.920267000613,"Down",-2.95584805,1.74e-75
"LPL",0.380476316989252,247.97703727363,"Down",-3.932782803,7.49e-65
"ANGPT1",0.380199972074968,248.517437327249,"Down",-1.231279172,2.65e-09
"SELP",0.3797347356457,244.532187556042,"Down",-2.062304266,1.26e-28
"FGF1",0.379618169572818,248.213484114304,"Down",-2.340147185,1.07e-69
"RAD51",0.379536938759752,273.197163524309,"Up",3.267048714,5.78e-218
"CLDN5",0.379195999874473,242.476632505512,"Down",-2.656899212,1.49e-40
"CCL5",0.378359160695007,252.228824519612,"Up",1.643644632,1.1e-26
"GHR",0.376845568685952,240.582776538207,"Down",-3.95703713,3.51e-99
"PLAT",0.376521422446,242.439485281855,"Down",-1.520956094,2.09e-23
"DCN",0.375899404134634,247.810249975154,"Down",-2.598899543,3.8e-77
"F3",0.374725416720506,239.172674076082,"Down",-1.469997154,1.79e-30
"MMP3",0.374559892126751,244.870640143967,"Up",2.82623962,3.34e-33
"CD79A",0.374523854263728,241.425838653026,"Up",1.984428644,6.81e-17
"CALML5",0.374446722687339,246.574154163354,"Up",3.555557703,4.6e-28
"MME",0.374408531350259,240.338427323114,"Down",-2.669153122,6.6e-45
"PROM1",0.37388117669431,241.785931644771,"Up",1.240187069,5.26e-09
"CDC45",0.373792023407114,277.371629355552,"Up",3.95053375,1.54e-204
"ITGA7",0.373243583267104,242.895625698606,"Down",-3.503404864,4.71e-72
"LEPR",0.369394282540771,235.02399690024,"Down",-3.294838246,4.84e-118
"CX3CL1",0.366615487987338,238.088826954387,"Down",-1.3819219,4.92e-20
"MMP7",0.366205542331467,235.388409001125,"Up",1.985146842,1.51e-16
"NGFR",0.365479572212462,237.127941077071,"Down",-1.65599983,7.57e-17
"BMP4",0.364149826306812,236.284589554374,"Down",-1.713095646,2.69e-43
"FGFR4",0.364059540054709,236.252769416506,"Up",1.39510363,3.37e-06
"PRKN",0.363853763408482,229.441652070351,"Down",-2.12925659,1.18e-63
"COL14A1",0.362646191746048,234.268454398055,"Down",-2.334467967,1.26e-41
"LYVE1",0.362538972939591,234.371237965795,"Down",-4.614442812,7.71e-114
"CXCL10",0.362492297038688,241.379276846891,"Up",5.078673315,2.69e-125
"CXCL11",0.362293492709156,235.049646729208,"Up",4.614178409,5.96e-114
"MCM10",0.361615172873874,265.339370915314,"Up",4.30154227,2.79e-232
"MELK",0.360734430422103,270.458625850029,"Up",4.704919865,3.42e-248
"PGR",0.360703695595932,230.479056600217,"Down",-3.194335368,2.99e-33
"CHEK1",0.360261873113284,266.401447143608,"Up",2.887760272,1.36e-198
