node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
BATF2,3.0,0.0,1.0,6.0,17.461,3.0,0.09091,116.40123,9.69828,2314.0,4780440.0,0.0,
IL20RA,1.0,0.0,1.0,2.0,54.76,1.0,0.11111,172.04683,11.38966,0.0,0.0,0.0,
ANKRD22,1.0,0.0,1.0,2.0,3.791,1.0,0.08333,96.01277,8.7,0.0,0.0,0.0,
L1CAM,3.0,0.0,1.0,6.0,42.751,2.0,0.1,139.45079,10.55862,1400.59241,556984.0,0.0,
IL12RB2,1.0,0.0,1.0,2.0,48.079,1.0,0.11111,172.04683,11.38966,0.0,0.0,0.0,
KRT19,6.0,0.56839,4.0,8.0,99.176,1.0,0.11111,156.28254,11.04138,73.2562,103032.0,0.21429,
CD2,55.0,0.5854,12.0,26.0,215.045,6.0,0.1,170.72698,11.20172,3112.73214,3788720.0,0.12308,
SCN2A,10.0,0.75786,4.0,12.0,58.566,4.0,0.1,151.40556,10.83103,2039.16188,897368.0,0.12121,
SPINT2,4.0,0.0,1.0,8.0,81.452,3.0,0.11111,157.03373,10.98966,1345.49904,1281008.0,0.0,
SPTBN2,1.0,0.0,1.0,2.0,22.295,1.0,0.09091,123.39964,10.02759,0.0,0.0,0.0,
GPC3,5.0,0.61557,2.0,10.0,124.595,5.0,0.11111,165.04206,11.13793,4959.95238,7500624.0,0.08889,
DMD,9.0,0.61795,3.0,14.0,106.495,4.0,0.1,165.79722,11.15862,3186.81214,833816.0,0.08791,
SCN4B,4.0,0.61795,3.0,6.0,32.118,1.0,0.09091,125.14964,10.04483,5.0,168.0,0.26667,
ITPR1,4.0,0.61557,2.0,8.0,95.046,5.0,0.1,179.74246,11.52931,2018.36808,752472.0,0.07143,
PLEK2,3.0,0.0,1.0,6.0,65.492,2.0,0.1,167.15913,11.30345,1852.71414,636392.0,0.0,
ANGPTL1,1.0,0.0,1.0,2.0,44.715,1.0,0.1,144.87937,10.73793,0.0,0.0,0.0,
SELP,265.0,1.03754,10.0,22.0,243.677,4.0,0.11111,198.24683,11.76379,1163.59768,397640.0,0.22511,
TEK,6562.0,0.80768,16.0,40.0,267.971,11.0,0.11111,200.48016,11.73621,3500.97576,1604840.0,0.11538,
ERBB4,6945.0,0.73694,20.0,42.0,270.529,10.0,0.1,204.79008,11.81897,3060.40824,1572112.0,0.13937,
KLHL13,1.0,0.0,1.0,2.0,50.658,1.0,0.08333,150.41198,10.55862,0.0,0.0,0.0,
IGFBP6,1.0,0.0,1.0,2.0,61.04,1.0,0.1,160.56627,11.17241,0.0,0.0,0.0,
FGFR3,5924.0,0.84125,15.0,42.0,269.807,8.0,0.1,205.2496,11.77414,8066.50886,5902128.0,0.09756,
HGF,56334.0,1.23252,22.0,52.0,275.018,21.0,0.11111,212.33016,11.87414,13430.45171,1.0027936E7,0.17949,
PTPRB,4.0,0.61557,2.0,8.0,103.256,2.0,0.1,153.26032,10.92241,102.36264,38336.0,0.14286,
FGFR4,5911.0,0.9963,13.0,28.0,253.106,2.0,0.1,186.31627,11.53966,1402.41807,836848.0,0.20635,
KIT,16904.0,0.78607,20.0,48.0,275.131,9.0,0.11111,216.51349,11.97759,6309.21169,2565664.0,0.11348,
NR4A3,30.0,1.03722,5.0,10.0,117.246,1.0,0.09091,136.47702,10.45172,2.81552,320.0,0.35556,
GTSE1,9.223372036854777E13,2.23525,22.0,44.0,276.91,1.0,0.09091,179.07345,11.08276,6.86806,15528.0,0.45243,
MUC5B,2.0,0.61557,2.0,4.0,45.95,1.0,0.1,147.51865,10.8569,0.0,0.0,0.33333,
FGF7,33210.0,1.08525,21.0,42.0,274.54,7.0,0.11111,208.69683,11.85172,1494.99631,959600.0,0.223,
CENPI,9.223372036854777E13,2.14857,29.0,58.0,278.857,1.0,0.09091,184.67345,11.14483,72.6111,97832.0,0.39806,
EGF,56537.0,0.68802,40.0,82.0,279.577,20.0,0.11111,231.3373,12.10345,10852.67798,4013664.0,0.10961,
LRP8,4.0,0.0,1.0,8.0,34.781,5.0,0.09091,150.32345,10.84828,1136.09232,145296.0,0.0,
ST14,2.0,0.0,1.0,4.0,25.953,1.0,0.1,122.57738,9.99655,5.07121,1176.0,0.0,
CXCL14,367920.0,1.67602,10.0,20.0,244.455,1.0,0.1,169.45198,11.23448,2.99943,1272.0,0.44211,
FGF2,52985.0,0.95864,27.0,60.0,278.215,7.0,0.11111,217.03016,11.92414,9743.97899,7973096.0,0.14689,
MUC16,3.0,0.61557,2.0,6.0,79.693,1.0,0.1,155.51865,11.02069,81.39677,10688.0,0.13333,
RAD51,9.223372036854777E13,1.61655,48.0,98.0,279.427,41.0,0.1,217.36627,11.72069,9326.33948,5295496.0,0.24532,
VWF,1469.0,0.77865,18.0,42.0,268.278,23.0,0.125,212.59405,11.92241,6572.93156,4726344.0,0.12311,
CCL28,10080.0,1.57449,8.0,16.0,222.682,1.0,0.1,166.50198,11.19483,0.2,8.0,0.45,
SKA3,9.223372036854777E13,2.16524,33.0,66.0,278.862,1.0,0.09091,188.05678,11.17931,21.94902,23496.0,0.38508,
TRIM46,1.0,0.0,1.0,2.0,34.71,1.0,0.1,146.04484,10.83103,0.0,0.0,0.0,
NGFR,5896.0,1.02445,12.0,28.0,254.658,3.0,0.1,185.51627,11.51897,1947.28372,1391632.0,0.18519,
MAPK8IP2,2.0,0.0,1.0,4.0,32.709,1.0,0.1,144.10556,10.78276,207.98045,42072.0,0.0,
F3,243.0,1.09763,7.0,16.0,209.271,2.0,0.11111,191.73016,11.68448,1266.60979,252504.0,0.25,
GPX3,11.0,0.92693,3.0,16.0,98.972,12.0,0.11111,190.23016,11.68448,9073.28959,2317264.0,0.06667,
PITX1,1.0,0.0,1.0,2.0,41.986,1.0,0.1,144.01984,10.74138,0.0,0.0,0.0,
PLA2G2A,3.0,0.61557,2.0,6.0,12.916,4.0,0.09091,118.00837,9.81897,565.06425,579392.0,0.13333,
ALOX15B,2.0,0.0,1.0,4.0,21.048,5.0,0.1,142.51032,10.70862,1444.07339,873624.0,0.0,
TNC,2.0,0.61557,2.0,4.0,95.586,1.0,0.1,175.50198,11.45345,0.0,0.0,0.33333,
LYVE1,6.0,0.0,1.0,12.0,184.456,3.0,0.11111,186.24921,11.51897,1492.52364,1383896.0,0.0,
RTP4,120.0,1.29653,5.0,10.0,119.245,1.0,0.1,137.2627,10.47414,0.0,0.0,0.44444,
CX3CR1,4.7936448E8,1.89042,13.0,26.0,261.045,1.0,0.1,173.26865,11.27586,2.52833,704.0,0.45538,
AOC3,8.0,0.92693,3.0,10.0,98.993,2.0,0.1,151.4627,10.84655,880.89895,449048.0,0.13333,
SPC24,9.223372036854777E13,2.15312,24.0,48.0,277.465,1.0,0.09091,181.00678,11.12241,13.95188,18056.0,0.42376,
CXCL2,5.19291366E8,1.6692,16.0,32.0,266.414,2.0,0.11111,185.74683,11.50172,126.19459,88664.0,0.375,
IFI6,720.0,1.42647,6.0,12.0,123.673,1.0,0.1,137.7627,10.47586,0.0,0.0,0.45455,
PDGFD,24.0,0.85588,6.0,12.0,197.24,1.0,0.1,176.6996,11.41897,11.96196,5952.0,0.27273,
IFI27,720.0,1.42647,6.0,12.0,124.361,1.0,0.1,137.7627,10.47586,0.0,0.0,0.45455,
RSAD2,960.0,1.34123,8.0,16.0,149.168,1.0,0.1,147.17937,10.66379,67.72298,28072.0,0.38333,
MX1,962.0,1.14559,9.0,18.0,170.231,5.0,0.1,160.28651,10.97759,614.94449,217568.0,0.31373,
TNS1,1.0,0.0,1.0,2.0,50.115,1.0,0.1,171.71865,11.38966,0.0,0.0,0.0,
TIGIT,2.0,0.0,1.0,4.0,67.769,1.0,0.1,148.02937,10.80172,16.39683,2520.0,0.0,
CDT1,9.223372036854777E13,1.68224,40.0,80.0,279.427,3.0,0.09091,195.29012,11.27931,368.91265,313960.0,0.28165,
IDO1,37.0,0.94732,4.0,18.0,170.688,10.0,0.11111,182.58016,11.50345,6467.69612,2384616.0,0.14379,
NPR1,4.0,0.0,1.0,8.0,25.418,1.0,0.09091,122.61154,9.93966,39.27625,14112.0,0.0,
SAA1,48.0,1.16687,5.0,10.0,170.551,1.0,0.11111,180.63016,11.49828,7.27648,1768.0,0.4,
CCR7,5.19286597E8,1.12807,22.0,46.0,273.856,8.0,0.11111,202.94683,11.76724,4821.42043,3268664.0,0.2087,
CD24,9.0,0.92693,3.0,12.0,133.534,4.0,0.11111,167.19087,11.23793,2128.31341,667968.0,0.09091,
FGF1,28822.0,1.46217,15.0,30.0,264.028,1.0,0.11111,195.58016,11.68103,265.0852,249696.0,0.33563,
OMD,6.0,0.92693,3.0,6.0,67.759,1.0,0.09091,136.04726,10.46552,0.0,0.0,0.4,
SAA2,24.0,1.13679,4.0,8.0,144.81,1.0,0.11111,176.78016,11.43621,0.0,0.0,0.42857,
CX3CL1,5.1891864E8,1.6825,15.0,30.0,266.933,1.0,0.11111,190.43016,11.58276,226.2211,190488.0,0.38621,
CCL19,5.1891864E8,1.8243,14.0,28.0,258.72,1.0,0.11111,185.29683,11.50517,49.36225,42176.0,0.42857,
EPCAM,19.0,0.57059,6.0,20.0,131.042,5.0,0.125,164.28929,11.14655,1931.71524,1090752.0,0.09474,
MMRN1,1.0,0.0,1.0,2.0,48.38,1.0,0.11111,151.38492,10.92414,0.0,0.0,0.0,
CCDC69,1.0,0.0,1.0,2.0,41.877,1.0,0.08333,122.23856,9.81897,0.0,0.0,0.0,
IFI44L,960.0,1.34123,8.0,16.0,150.609,1.0,0.1,147.17937,10.66379,67.72298,28072.0,0.38333,
SKA1,9.223372036854777E13,2.44951,42.0,84.0,279.427,1.0,0.09091,191.92345,11.18448,25.56569,29304.0,0.4039,
INMT,6.0,0.92693,3.0,6.0,62.711,1.0,0.1,139.84603,10.57414,0.0,0.0,0.4,
RDH10,7.0,0.92693,3.0,8.0,44.248,2.0,0.1,134.4627,10.38621,312.57414,114936.0,0.21429,
CCDC170,1.0,0.0,1.0,2.0,58.949,1.0,0.1,169.51627,11.38276,0.0,0.0,0.0,
CENPU,9.223372036854777E13,2.11638,27.0,54.0,277.69,1.0,0.09091,183.59012,11.14138,84.99885,121616.0,0.40112,
JCHAIN,8.0,0.75786,4.0,8.0,62.227,1.0,0.09091,142.90916,10.67069,5.33333,96.0,0.28571,
RBP1,3.0,0.61557,2.0,6.0,53.594,1.0,0.1,138.04841,10.53103,169.4181,63152.0,0.13333,
PTK6,1.0,0.0,1.0,2.0,55.25,1.0,0.1,159.60198,11.10517,0.0,0.0,0.0,
FLRT2,1.0,0.0,1.0,2.0,57.055,1.0,0.1,171.71865,11.38966,0.0,0.0,0.0,
POU2AF1,10.0,0.64826,5.0,10.0,74.929,2.0,0.09091,148.89726,10.82931,255.07963,71848.0,0.22222,
HSPB7,2.0,0.61557,2.0,4.0,33.537,1.0,0.1,131.43294,10.35517,0.0,0.0,0.33333,
LRP2,6.0,0.61795,3.0,10.0,133.729,2.0,0.11111,178.63016,11.46207,1204.02474,217088.0,0.08889,
POU2F3,1.0,0.0,1.0,2.0,23.963,1.0,0.09091,115.25321,9.71034,0.0,0.0,0.0,
OASL,962.0,1.14559,9.0,18.0,163.688,1.0,0.1,147.67937,10.66552,104.3662,38400.0,0.31373,
CBLC,1.0,0.0,1.0,2.0,51.66,1.0,0.09091,137.76392,10.54138,0.0,0.0,0.0,
GHR,32.0,0.85588,6.0,12.0,193.884,2.0,0.11111,187.28016,11.62759,192.1339,43808.0,0.27273,
PIGR,3.0,0.61557,2.0,6.0,42.388,2.0,0.09091,142.2425,10.66724,1158.0,435808.0,0.13333,
MYBPC1,1.0,0.0,1.0,2.0,27.863,1.0,0.1,130.4996,10.3431,0.0,0.0,0.0,
HSPB6,2.0,0.0,1.0,4.0,43.994,2.0,0.09091,146.27583,10.7431,428.4653,118440.0,0.0,
MZB1,6.0,0.92693,3.0,6.0,54.827,1.0,0.09091,142.2425,10.66724,0.0,0.0,0.4,
GJB2,3.0,0.61557,2.0,6.0,1.713,4.0,0.08333,74.42118,6.78621,3462.0,2.9305824E7,0.13333,
ANGPT1,489.0,0.89412,13.0,28.0,255.456,2.0,0.11111,192.18254,11.63966,1460.46069,775920.0,0.18519,
