"Cell","KW_pvalue","KW_padj"
"Macrophages M0",2.31817749383493e-27,5.09999048643684e-26
"Macrophages M1",6.42309598956063e-23,7.06540558851669e-22
"Macrophages M2",1.56908658169477e-20,1.15066349324283e-19
"T cells follicular helper",7.33013112701151e-20,4.03157211985633e-19
"T cells regulatory (Tregs)",1.41190224762766e-17,6.21236988956169e-17
"T cells CD8",8.34046072550872e-15,3.05816893268653e-14
"T cells CD4 memory activated",1.87634579871133e-14,5.8970867959499e-14
"Mast cells resting",4.59392859695803e-14,1.26333036416346e-13
"NK cells activated",2.06080822336772e-09,5.03753121267665e-09
"T cells CD4 memory resting",4.85143315776782e-09,1.06731529470892e-08
"T cells CD4 naive",1.29431361376443e-08,2.58862722752886e-08
"Eosinophils",5.97651697648285e-08,1.09569477902186e-07
"Monocytes",6.33915124444727e-06,1.072779441368e-05
"B cells naive",2.27513721925192e-05,3.57521563025302e-05
"Dendritic cells resting",3.37419783632781e-05,4.94882349328079e-05
"NK cells resting",0.00189001091574828,0.00259876500915389
"B cells memory",0.00667834714706176,0.00864256689619757
"Neutrophils",0.0480836042249667,0.0587688496082927
"Plasma cells",0.0775577906079477,0.0898037575460447
"Dendritic cells activated",0.15012757424256,0.165140331666816
"Mast cells activated",0.223654189406101,0.234304388901629
"T cells gamma delta",0.690251490568129,0.690251490568129
