"Cell","p_val","delta","p_adj","sig","log10p"
"B cells memory",0.447813921887492,0.00742643888561252,0.779157220048586,"ns",0.348902408959466
"B cells naive",0.292755226578108,-0.0348756402517337,0.779157220048586,"ns",0.533495342698744
"Dendritic cells activated",0.445006698211089,0.00798384536807726,0.779157220048586,"ns",0.351633451998346
"Dendritic cells resting",NA,0,NA,NA,NA
"Eosinophils",0.152871700465976,-0.0020716311286212,0.611486801863905,"ns",0.815672903528078
"Macrophages M0",0.602666130115008,0.0288546185586461,0.847937411798111,"ns",0.219923215231084
"Macrophages M1",0.937128257144448,0.00461205624029102,0.990690051812576,"ns",0.0282009666808161
"Macrophages M2",0.852472111504955,0.0088468382511836,0.990690051812576,"ns",0.06931981998077
"Mast cells activated",0.941155549221947,0.000843316035618803,0.990690051812576,"ns",0.0263385927407026
"Mast cells resting",0.129479676642557,0.023454526208726,0.611486801863905,"ns",0.887798393858038
"Monocytes",0.860084921867916,-0.0155549539093963,0.990690051812576,"ns",0.0654586658752561
"NK cells activated",0.0352564860225984,0.0269354339981715,0.430487969021962,"ns",1.45276097556038
"NK cells resting",0.0645731953532942,-0.017399214236789,0.430487969021962,"ns",1.18994772234486
"Neutrophils",0.635953058848583,0.000707030018688222,0.847937411798111,"ns",0.196574939438685
"Plasma cells",0.430230274932868,0.0248594366526506,0.779157220048586,"ns",0.36629903194563
"T cells CD4 memory activated",0.4167955161706,-0.00178917208077082,0.779157220048586,"ns",0.380076961764291
"T cells CD4 memory resting",0.0530465541004429,-0.0690201975623131,0.430487969021962,"ns",1.27534282257827
"T cells CD4 naive",0.236846244931793,-0.00785024763150602,0.779157220048586,"ns",0.625533496383899
"T cells CD8",1,0.00285725218368656,1,"ns",0
"T cells follicular helper",0.47748385592039,0.00600774651952961,0.779157220048586,"ns",0.321041307647181
"T cells gamma delta",NA,0,NA,NA,NA
"T cells regulatory (Tregs)",0.506452193031581,0.00517251788024843,0.779157220048586,"ns",0.295461543951257
