"ID","Group"
"TCGA-AO-A124-01A-11R-A10J-07","Tumor"
"TCGA-A1-A0SP-01A-11R-A084-07","Tumor"
"TCGA-A7-A26G-01A-21R-A169-07","Tumor"
"TCGA-EW-A1P8-01A-11R-A144-07","Tumor"
"TCGA-BH-A0BL-01A-11R-A115-07","Tumor"
"TCGA-BH-A18G-01A-11R-A12D-07","Tumor"
"TCGA-A2-A0D2-01A-21R-A034-07","Tumor"
"TCGA-E2-A14N-01A-31R-A137-07","Tumor"
"TCGA-AR-A2LR-01A-12R-A18M-07","Tumor"
"TCGA-D8-A143-01A-11R-A115-07","Tumor"
"TCGA-AO-A128-01A-11R-A10J-07","Tumor"
"TCGA-GM-A2DF-01A-11R-A180-07","Tumor"
"TCGA-A2-A3XT-01A-11R-A22U-07","Tumor"
"TCGA-C8-A131-01A-11R-A115-07","Tumor"
"TCGA-A7-A6VV-01A-22R-A33J-07","Tumor"
"TCGA-A2-A3XX-01A-21R-A239-07","Tumor"
"TCGA-AC-A2BK-01A-11R-A21T-07","Tumor"
"TCGA-C8-A26X-01A-31R-A16F-07","Tumor"
"TCGA-BH-A1EW-01A-11R-A137-07","Tumor"
"TCGA-C8-A26Y-01A-11R-A16F-07","Tumor"
"TCGA-B6-A402-01A-11R-A239-07","Tumor"
"TCGA-E2-A1LS-01A-12R-A157-07","Tumor"
"TCGA-B6-A3ZX-01A-11R-A239-07","Tumor"
"TCGA-AN-A0G0-01A-11R-A034-07","Tumor"
"TCGA-A8-A08R-01A-11R-A034-07","Tumor"
"TCGA-BH-A1FC-01A-11R-A13Q-07","Tumor"
"TCGA-AQ-A04J-01A-02R-A034-07","Tumor"
"TCGA-A7-A6VW-01A-21R-A33J-07","Tumor"
"TCGA-LL-A5YO-01A-21R-A28M-07","Tumor"
"TCGA-D8-A147-01A-11R-A115-07","Tumor"
"TCGA-S3-AA15-01A-11R-A41B-07","Tumor"
"TCGA-A2-A0YE-01A-11R-A109-07","Tumor"
"TCGA-A2-A0D0-01A-11R-A00Z-07","Tumor"
"TCGA-BH-A42U-01A-12R-A24H-07","Tumor"
"TCGA-GM-A2DH-01A-11R-A180-07","Tumor"
"TCGA-BH-A0B9-01A-11R-A056-07","Tumor"
"TCGA-A8-A07O-01A-11R-A00Z-07","Tumor"
"TCGA-A2-A0T0-01A-22R-A084-07","Tumor"
"TCGA-D8-A1XQ-01A-11R-A14M-07","Tumor"
"TCGA-AO-A1KR-01A-12R-A144-07","Tumor"
"TCGA-AC-A6IW-01A-12R-A33J-07","Tumor"
"TCGA-A2-A1G6-01A-11R-A13Q-07","Tumor"
"TCGA-BH-A0WA-01A-11R-A109-07","Tumor"
"TCGA-D8-A13Z-01A-11R-A115-07","Tumor"
"TCGA-AO-A12F-01A-11R-A115-07","Tumor"
"TCGA-AR-A0TU-01A-31R-A109-07","Tumor"
"TCGA-C8-A3M7-01A-12R-A21T-07","Tumor"
"TCGA-C8-A1HJ-01A-11R-A13Q-07","Tumor"
"TCGA-E2-A14X-01A-11R-A115-07","Tumor"
"TCGA-AN-A04D-01A-21R-A034-07","Tumor"
"TCGA-GM-A2DB-01A-31R-A18M-07","Tumor"
"TCGA-AN-A0XU-01A-11R-A109-07","Tumor"
"TCGA-AN-A0AT-01A-11R-A034-07","Tumor"
"TCGA-A2-A3XY-01A-11R-A239-07","Tumor"
"TCGA-S3-AA10-01A-21R-A41B-07","Tumor"
"TCGA-E2-A14R-01A-11R-A115-07","Tumor"
"TCGA-D8-A27F-01A-11R-A16F-07","Tumor"
"TCGA-BH-A0B3-01A-11R-A056-07","Tumor"
"TCGA-EW-A3U0-01A-11R-A22K-07","Tumor"
"TCGA-HN-A2NL-01A-11R-A18M-07","Tumor"
"TCGA-AN-A0AL-01A-11R-A00Z-07","Tumor"
"TCGA-AO-A03U-01B-21R-A10J-07","Tumor"
"TCGA-E2-A1LL-01A-11R-A144-07","Tumor"
"TCGA-AC-A7VC-01A-11R-A352-07","Tumor"
"TCGA-BH-A0E0-01A-11R-A056-07","Tumor"
"TCGA-EW-A1P4-01A-21R-A144-07","Tumor"
"TCGA-BH-A0BG-01A-11R-A115-07","Tumor"
"TCGA-A2-A0SX-01A-12R-A084-07","Tumor"
"TCGA-AR-A256-01A-11R-A169-07","Tumor"
"TCGA-AO-A0JL-01A-11R-A056-07","Tumor"
"TCGA-AC-A2QJ-01A-12R-A19W-07","Tumor"
"TCGA-D8-A27H-01A-11R-A16F-07","Tumor"
"TCGA-GI-A2C9-01A-11R-A21T-07","Tumor"
"TCGA-B6-A400-01A-11R-A239-07","Tumor"
"TCGA-A7-A4SE-01A-11R-A266-07","Tumor"
"TCGA-D8-A1JF-01A-11R-A13Q-07","Tumor"
"TCGA-A8-A09X-01A-11R-A00Z-07","Tumor"
"TCGA-D8-A1XK-01A-21R-A14M-07","Tumor"
"TCGA-OL-A6VO-01A-12R-A33J-07","Tumor"
"TCGA-AR-A1AY-01A-21R-A12P-07","Tumor"
"TCGA-BH-A0RX-01A-21R-A084-07","Tumor"
"TCGA-AR-A5QQ-01A-11R-A28M-07","Tumor"
"TCGA-E2-A158-01A-11R-A12D-07","Tumor"
"TCGA-E9-A5FL-01A-11R-A27Q-07","Tumor"
"TCGA-EW-A1OV-01A-11R-A144-07","Tumor"
"TCGA-D8-A27M-01A-11R-A16F-07","Tumor"
"TCGA-A8-A07C-01A-11R-A034-07","Tumor"
"TCGA-EW-A1PB-01A-11R-A144-07","Tumor"
"TCGA-AO-A0J4-01A-11R-A034-07","Tumor"
"TCGA-EW-A1OW-01A-21R-A144-07","Tumor"
"TCGA-A2-A0CM-01A-31R-A034-07","Tumor"
"TCGA-D8-A1JL-01A-11R-A13Q-07","Tumor"
"TCGA-AO-A0J6-01A-11R-A034-07","Tumor"
"TCGA-LL-A73Y-01A-11R-A33J-07","Tumor"
"TCGA-AN-A0AR-01A-11R-A00Z-07","Tumor"
"TCGA-AR-A1AR-01A-31R-A137-07","Tumor"
"TCGA-C8-A27B-01A-11R-A169-07","Tumor"
"TCGA-AO-A129-01A-21R-A10J-07","Tumor"
"TCGA-A7-A6VY-01A-12R-A33J-07","Tumor"
"TCGA-E2-A150-01A-11R-A12D-07","Tumor"
"TCGA-A2-A04U-01A-11R-A115-07","Tumor"
"TCGA-A7-A0DA-01A-31R-A115-07","Tumor"
"TCGA-AC-A2QH-01B-04R-A22O-07","Tumor"
"TCGA-AR-A0TS-01A-11R-A115-07","Tumor"
"TCGA-E2-A1LH-01A-11R-A14D-07","Tumor"
"TCGA-AC-A2QH-01A-11R-A18M-07","Tumor"
"TCGA-E2-A1L7-01A-11R-A144-07","Tumor"
"TCGA-C8-A12V-01A-11R-A115-07","Tumor"
"TCGA-EW-A1PH-01A-11R-A14M-07","Tumor"
"TCGA-A1-A0SK-01A-12R-A084-07","Tumor"
"TCGA-A2-A0T2-01A-11R-A084-07","Tumor"
"TCGA-BH-A1F6-01A-11R-A13Q-07","Tumor"
"TCGA-EW-A6SB-01A-12R-A32P-07","Tumor"
"TCGA-AR-A0U4-01A-11R-A109-07","Tumor"
"TCGA-LL-A441-01A-11R-A24H-07","Tumor"
"TCGA-BH-A18V-01A-11R-A12D-07","Tumor"
"TCGA-GI-A2C8-11A-22R-A16F-07","Normal"
"TCGA-BH-A0BW-11A-12R-A115-07","Normal"
"TCGA-BH-A1FE-11B-14R-A13Q-07","Normal"
"TCGA-BH-A1FB-11A-33R-A13Q-07","Normal"
"TCGA-E9-A1NF-11A-73R-A14D-07","Normal"
"TCGA-BH-A1F8-11B-21R-A13Q-07","Normal"
"TCGA-BH-A209-11A-42R-A157-07","Normal"
"TCGA-E9-A1RI-11A-41R-A169-07","Normal"
"TCGA-BH-A1F6-11B-94R-A13Q-07","Normal"
"TCGA-A7-A0DC-11A-41R-A089-07","Normal"
"TCGA-BH-A18L-11A-42R-A12D-07","Normal"
"TCGA-BH-A1FD-11B-21R-A13Q-07","Normal"
"TCGA-BH-A0BM-11A-12R-A089-07","Normal"
"TCGA-AC-A2FF-11A-13R-A17B-07","Normal"
"TCGA-BH-A18N-11A-43R-A12D-07","Normal"
"TCGA-E2-A1IG-11A-22R-A144-07","Normal"
"TCGA-E9-A1N6-11A-32R-A144-07","Normal"
"TCGA-A7-A0CH-11A-32R-A089-07","Normal"
"TCGA-A7-A0CE-11A-21R-A089-07","Normal"
"TCGA-E9-A1N4-11A-33R-A14M-07","Normal"
"TCGA-BH-A18V-11A-52R-A12D-07","Normal"
"TCGA-E2-A153-11A-31R-A12D-07","Normal"
"TCGA-AC-A23H-11A-12R-A157-07","Normal"
"TCGA-E2-A15M-11A-22R-A12D-07","Normal"
"TCGA-A7-A13E-11A-61R-A12P-07","Normal"
"TCGA-E2-A1LS-11A-32R-A157-07","Normal"
"TCGA-BH-A0AY-11A-23R-A089-07","Normal"
"TCGA-BH-A0E1-11A-13R-A089-07","Normal"
"TCGA-E9-A1N9-11A-71R-A14D-07","Normal"
"TCGA-BH-A208-11A-51R-A157-07","Normal"
"TCGA-BH-A0C3-11A-23R-A12P-07","Normal"
"TCGA-BH-A18S-11A-43R-A12D-07","Normal"
"TCGA-BH-A1EO-11A-31R-A137-07","Normal"
"TCGA-BH-A0DQ-11A-12R-A089-07","Normal"
"TCGA-BH-A0DL-11A-13R-A115-07","Normal"
"TCGA-BH-A1EV-11A-24R-A137-07","Normal"
"TCGA-E9-A1N5-11A-41R-A14D-07","Normal"
"TCGA-BH-A1FR-11B-42R-A13Q-07","Normal"
"TCGA-BH-A0BA-11A-22R-A19E-07","Normal"
"TCGA-BH-A0H5-11A-62R-A115-07","Normal"
"TCGA-BH-A1FM-11B-23R-A13Q-07","Normal"
