"Cell","p_val","delta","p_adj","sig","log10p"
"B cells memory",0.0687100796196477,0.00199422297271436,0.0848771571772119,"ns",1.16297954820842
"B cells naive",0.000399132012084286,-0.0203512242409477,0.0006984810211475,"FDR < 0.05",3.3988834385552
"Dendritic cells activated",0.198955173544237,0.00771843087742851,0.208902932221449,"ns",0.701244763164987
"Dendritic cells resting",0.000394296165986717,0.00544001329857327,0.0006984810211475,"FDR < 0.05",3.40417744585071
"Eosinophils",0.0676557156455736,-0.00116257545632364,0.0848771571772119,"ns",1.16969550773632
"Macrophages M0",2.07520903847885e-27,0.156560811775648,4.35793898080557e-26,"FDR < 0.05",26.682938149706
"Macrophages M1",4.35354653990333e-24,0.0635195845019409,4.57122386689849e-23,"FDR < 0.05",23.3611568085227
"Macrophages M2",1.02225928748389e-19,-0.154591679175904,5.36686125929044e-19,"FDR < 0.05",18.9904389350806
"Mast cells activated",0.0354405038593496,0.00695906563435791,0.0496167054030895,"FDR < 0.05",1.45050011235554
"Mast cells resting",7.60335724088284e-14,-0.0477099695585006,2.28100717226485e-13,"FDR < 0.05",13.1189946038708
"Monocytes",6.39571386361333e-07,-0.0113438510999724,1.49233323484311e-06,"FDR < 0.05",6.19411097429315
"NK cells activated",6.29418069317346e-07,-0.0133630113985733,1.49233323484311e-06,"FDR < 0.05",6.20106079352929
"NK cells resting",0.0133564457971679,0.00668750017890012,0.0215757970569636,"FDR < 0.05",1.87430909395886
"Neutrophils",0.11743085691865,-0.00172351194422464,0.129791999752192,"ns",0.930217769965091
"Plasma cells",0.0203590155068086,-0.00767641853723469,0.0305385232602129,"FDR < 0.05",1.69124322684107
"T cells CD4 memory activated",5.0189518897193e-15,0.0101511647293144,2.1079597936821e-14,"FDR < 0.05",14.2993869673244
"T cells CD4 memory resting",0.000364973959625078,-0.0436402411790175,0.0006984810211475,"FDR < 0.05",3.43773812073414
"T cells CD4 naive",NA,0,NA,NA,NA
"T cells CD8",0.0914919113670419,-0.00806450444984769,0.106740563261549,"ns",1.03861729941921
"T cells follicular helper",1.23588294548219e-21,0.0290026046845821,8.65118061837531e-21,"FDR < 0.05",20.9080226607509
"T cells gamma delta",0.327950748567808,2.28519493455943e-05,0.327950748567808,"ns",0.484191373456877
"T cells regulatory (Tregs)",4.51270956896821e-14,0.0215707364377407,1.57944834913887e-13,"FDR < 0.05",13.3455626161039
